id,pais,cultivo
ID_1708368426847,Honduras,coffee
ID_1708368490312,Honduras,potato
ID_1708368626476,Honduras,potato
ID_1708368706543,Honduras,onion
ID_1708368766036,Honduras,coffee
ID_1708370547909,Honduras,cucumber
ID_1708360227973,Honduras,maize
ID_1708377199302,Honduras,maize
ID_1708377252409,Honduras,maize
ID_1708378414504,Honduras,maize
ID_1708378482705,Honduras,maize
ID_1708378695840,Honduras,maize
ID_1708378768861,Honduras,coffee
ID_1708378865457,Honduras,maize
ID_1708378970622,Honduras,bean
ID_1708384470419,Honduras,coffee
ID_1708384737976,Honduras,maize
ID_1708385215772,Honduras,maize
ID_1708385568871,Honduras,maize
ID_1708385788109,Honduras,maize
ID_1708385896685,Honduras,maize
ID_1708396211203,Nicaragua,cauliflower
ID_1708397362868,Nicaragua,potato
ID_1708398196382,Nicaragua,default
ID_1708398341435,Nicaragua,potato
ID_1708439923038,Nicaragua,tomato
ID_1708440373527,Nicaragua,tomato
ID_1708443166573,Nicaragua,maize
ID_1708452468054,El Salvador,default
ID_1708453327409,Nicaragua,tomato
ID_1708456600464,Nicaragua,tomato
ID_1708456895465,Nicaragua,tomato
ID_1708458471539,Nicaragua,tomato
ID_1708459792162,Panamá,onion
ID_1708459597057,Honduras,maize
ID_1708459941563,Honduras,maize
ID_1708460320060,Honduras,maize
ID_1708460583661,Honduras,maize
ID_1708460762467,Honduras,bean
ID_1708460978271,Honduras,bean
ID_1708461174023,Honduras,bean
ID_1708461174023,Honduras,bean
ID_1708519179078,Panamá,coffee
ID_1708527832848,Panamá,tomato
ID_1708527028086,Costa Rica,potato
ID_1708528341623,Panamá,tomato
ID_1708528677240,Panamá,pepper
ID_1708528944619,Panamá,onion
ID_1708529378160,Panamá,onion
ID_1708529728426,Panamá,onion
ID_1708527028086,Costa Rica,potato
ID_1708533812075,Costa Rica,tomato
ID_1708533812075,Costa Rica,tomato
ID_1708553655038,Costa Rica,default
ID_1708557525159,Costa Rica,maize
ID_1708558774063,Costa Rica,maize
ID_1708562992811,Honduras,tomato
ID_1708562992811,Honduras,tomato
ID_1708564050780,Nicaragua,default
ID_1708564382404,Nicaragua,maize
ID_1708569540069,Honduras,tomato
ID_1708569750010,Honduras,pepper
ID_1708570109838,Honduras,coffee
ID_1708571426337,Costa Rica,coffee
ID_1708571949883,Costa Rica,coffee
ID_1708572666790,Costa Rica,coffee
ID_1708573691121,Costa Rica,coffee
ID_1708573929843,Costa Rica,coffee
ID_1708575319862,Costa Rica,coffee
ID_1708575319862,Costa Rica,coffee
ID_1708576238697,Costa Rica,maize
ID_1708576649236,Costa Rica,tomato
ID_1708613004681,Nicaragua,bean
ID_1708615827672,Nicaragua,maize
ID_1708615988922,Nicaragua,maize
ID_1708616297730,Nicaragua,bean
ID_1708616570040,Nicaragua,maize
ID_1708616536041,Nicaragua,coffee
ID_1708617034386,Nicaragua,coffee
ID_1708617281093,Nicaragua,maize
ID_1708618438029,Honduras,tomato
ID_1708622879046,Honduras,tomato
ID_1708622879046,Honduras,tomato
ID_1708649587329,Panamá,pepper
ID_1708655454842,Honduras,tomato
ID_1708655546727,Honduras,pepper
ID_1708655747011,Honduras,tomato
ID_1708656964520,Nicaragua,pepper
ID_1708714709902,Panamá,onion
ID_1708715063989,Panamá,cucumber
ID_1708715237384,Panamá,coffee
ID_1708715342384,Panamá,potato
ID_1708715706251,Nicaragua,onion
ID_1708717462172,Honduras,coffee
ID_1708717462172,Honduras,coffee
ID_1708712688404,Costa Rica,zucchini
ID_1708920278243,Honduras,coffee
ID_1708964727320,Honduras,pepper
ID_1708990062793,Honduras,maize
ID_1709060058507,Panamá,pepper
ID_1709069850986,Panamá,maize
ID_1709070072460,Panamá,rice
ID_1709070097515,Panamá,rice
ID_1709070435797,Panamá,rice
ID_1709080130698,Nicaragua,bean
ID_1709080560409,Nicaragua,bean
ID_1709080560409,Nicaragua,bean
ID_1709081395650,Nicaragua,onion
ID_1709081744568,Nicaragua,pepper
ID_1709082096028,Nicaragua,pepper
ID_1709082538046,Nicaragua,pepper
ID_1709129574098,El Salvador,default
ID_1709129574098,El Salvador,default
ID_1709130147837,El Salvador,coffee
ID_1709131448172,Panamá,coffee
ID_1709131389687,Panamá,onion
ID_1709141787240,Panamá,pepper
ID_1709142745234,Panamá,pepper
ID_1709142633002,Honduras,coffee
ID_1709147033186,Panamá,onion
ID_1709147169023,Panamá,onion
ID_1709147456090,Panamá,onion
ID_1709147612891,Panamá,onion
ID_1709147834667,Panamá,onion
ID_1709148999755,Nicaragua,zucchini
ID_1709149332856,Nicaragua,pepper
ID_1709151683699,Panamá,rice
ID_1709174796799,Nicaragua,tomato
ID_1709175054807,Nicaragua,tomato
ID_1709176021148,Nicaragua,tomato
ID_1709176256309,Nicaragua,tomato
ID_1709176381087,Nicaragua,pepper
ID_1709176530901,Nicaragua,tomato
ID_1709219271234,Costa Rica,tomato
ID_1709219810086,Costa Rica,cauliflower
ID_1709220989573,Honduras,pepper
ID_1709221796394,Nicaragua,bean
ID_1709224084660,Nicaragua,maize
ID_1709226033254,Nicaragua,tomato
ID_1709226198528,Nicaragua,tomato
ID_1709226287085,Nicaragua,tomato
ID_1709227007033,Nicaragua,cabbage
ID_1709226860579,Nicaragua,bean
ID_1709229643410,Nicaragua,coffee
ID_1709230274036,Nicaragua,coffee
ID_1709238300700,Panamá,coffee
ID_1709239082893,Panamá,pepper
ID_1709246071402,Panamá,coffee
ID_1709302933343,El Salvador,tomato
ID_1709313366632,Panamá,coffee
ID_1709316587980,El Salvador,maize
ID_1709323484054,Panamá,onion
ID_1709329380411,Costa Rica,coffee
ID_1709329652656,Costa Rica,coffee
ID_1709330400959,Costa Rica,coffee
ID_1709345050601,Panamá,coffee
ID_1709346477684,Nicaragua,maize
ID_1709346637488,Nicaragua,maize
ID_1709346786060,Nicaragua,maize
ID_1709347039564,Nicaragua,cabbage
ID_1709484280648,Honduras,maize
ID_1709484438495,Honduras,maize
ID_1709510875983,Honduras,tomato
ID_1709594343909,Panamá,coffee
ID_1709640604156,Panamá,coffee
ID_1709640919081,Panamá,potato
ID_1709641083830,Panamá,potato
ID_1709654411467,El Salvador,tomato
ID_1709672900122,El Salvador,tomato
ID_1709673089317,El Salvador,tomato
ID_1709673639894,El Salvador,maize
ID_1709673834597,El Salvador,maize
ID_1709678745915,El Salvador,maize
ID_1709678871673,El Salvador,zucchini
ID_1709678987047,El Salvador,bean
ID_1709679057848,El Salvador,bean
ID_1709679116740,El Salvador,cucumber
ID_1709679482122,El Salvador,pepper
ID_1709679608956,El Salvador,tomato
ID_1709680160780,El Salvador,cucumber
ID_1709680301799,El Salvador,tomato
ID_1709680250042,El Salvador,cucumber
ID_1709680367549,El Salvador,tomato
ID_1709680636112,El Salvador,tomato
ID_1709680878204,El Salvador,pepper
ID_1709681054188,El Salvador,coffee
ID_1709681277348,El Salvador,cucumber
ID_1709681306192,El Salvador,maize
ID_1709681306192,El Salvador,maize
ID_1709681786171,El Salvador,coffee
ID_1709695347463,Nicaragua,maize
ID_1709695527426,Nicaragua,tomato
ID_1709695689898,Nicaragua,tomato
ID_1709695846059,Nicaragua,tomato
ID_1709695846059,Nicaragua,tomato
ID_1709696210208,Nicaragua,tomato
ID_1709701715097,Panamá,coffee
ID_1709747688785,Panamá,cabbage
ID_1709747688785,Panamá,cabbage
ID_1709749356104,Nicaragua,tomato
ID_1709749496857,Nicaragua,tomato
ID_1709749624898,Nicaragua,tomato
ID_1709750961380,Panamá,coffee
ID_1709751470283,El Salvador,default
ID_1709751663257,El Salvador,tomato
ID_1709751789243,El Salvador,default
ID_1709751916894,El Salvador,default
ID_1709752092815,El Salvador,default
ID_1709752222457,El Salvador,default
ID_1709752388974,El Salvador,default
ID_1709752541977,El Salvador,default
ID_1709752811336,El Salvador,default
ID_1709750961380,Panamá,coffee
ID_1709750961380,Panamá,coffee
ID_1709820534885,El Salvador,potato
ID_1709820717226,El Salvador,cabbage
ID_1709820808354,El Salvador,tomato
ID_1709859591658,Honduras,cucumber
ID_1709860062975,Honduras,tomato
ID_1709860786281,Honduras,cabbage
ID_1709910982497,Panamá,tomato
ID_1709911183747,Panamá,tomato
ID_1709911304037,Panamá,tomato
ID_1709911304037,Panamá,tomato
ID_1709911729037,Panamá,tomato
ID_1709912053308,Panamá,tomato
ID_1709912701824,Panamá,tomato
ID_1709913287086,Panamá,tomato
ID_1709923710612,Panamá,tomato
ID_1709923802399,Panamá,onion
ID_1709924019729,Panamá,onion
ID_1709924153890,Panamá,onion
ID_1709924312861,Panamá,tomato
ID_1709928806247,Panamá,onion
ID_1709928909495,Panamá,onion
ID_1709929138331,Panamá,onion
ID_1709929349348,Panamá,onion
ID_1709929649059,Panamá,onion
ID_1709931727497,Panamá,coffee
ID_1709931909356,Panamá,coffee
ID_1709932196753,Panamá,potato
ID_1710024994938,Nicaragua,zucchini
ID_1710025347049,Nicaragua,zucchini
ID_1710108702813,Nicaragua,potato
ID_1710108888891,Nicaragua,pepper
ID_1710176769262,Panamá,coffee
ID_1710188371968,El Salvador,default
ID_1710188494381,El Salvador,default
ID_1710188592755,El Salvador,default
ID_1710188827230,El Salvador,tomato
ID_1710189294712,El Salvador,tomato
ID_1710191839798,El Salvador,tomato
ID_1710191924051,El Salvador,tomato
ID_1710192193545,El Salvador,cucumber
ID_1710218890866,Nicaragua,pepper
ID_1710219047001,Nicaragua,tomato
ID_1710219205421,Nicaragua,tomato
ID_1710219486496,Nicaragua,tomato
ID_1710219670203,Nicaragua,tomato
ID_1710219850805,Nicaragua,tomato
ID_1710259127717,Panamá,potato
ID_1710259264848,Panamá,cabbage
ID_1710259516718,Panamá,potato
ID_1710259626086,Panamá,cabbage
ID_1710265511682,El Salvador,rice
ID_1710279023549,El Salvador,maize
ID_1710279402293,El Salvador,cucumber
ID_1710279538890,El Salvador,pepper
ID_1710293165722,Honduras,onion
ID_1710330887263,El Salvador,tomato
ID_1710427966730,El Salvador,maize
ID_1710429934696,El Salvador,tomato
ID_1710430830384,El Salvador,pepper
ID_1710434844541,El Salvador,cucumber
ID_1710447807965,Panamá,maize
